,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",Europe without Switzerland,-7.10493e-05,kilogram,cutoff38,f16ebe0cf00906d23646f15369313fe6,"treatment of low level radioactive waste, plasma torch incineration",CH,-0.09,cubic meter
77,0f90e3fd4690936c68b32aba1d7d485a,"market for hazardous waste, for incineration",RoW,-6.75213152633498e-05,kilogram,cutoff38,,,,,
78,0f98ae5e2ef59e2cf4be4b9da2a87aae,"market for hazardous waste, for incineration",RoW,-0.019689,kilogram,cutoff38,,,,,
79,0fa34ad3ccc7e283243be0381f591345,"treatment of waste glass, municipal incineration",RoW,-0.247338467815546,kilogram,cutoff38,,,,,
80,0fee609478994156b3544aaad3458d06,"treatment of waste polyethylene, municipal incineration",RoW,-0.000768036640492,kilogram,cutoff38,,,,,
81,1080fa885963d8123edf5be112f4c1c2,"market for hazardous waste, for incineration",Europe without Switzerland,-118.496,kilogram,cutoff38,,,,,
82,1080fa885963d8123edf5be112f4c1c2,"market for hazardous waste, for incineration",CH,-3.0974138859604,kilogram,cutoff38,,,,,
83,1080fa885963d8123edf5be112f4c1c2,"market for hazardous waste, for incineration",RoW,-246.40658611404,kilogram,cutoff38,,,,,
84,10ae7282611d38cf5dd8ca96c56f27db,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.0539407403935113,kilogram,cutoff38,,,,,
85,10c835abe9fbfb900d67271506f61a3b,"market for hazardous waste, for incineration",RoW,-0.0003003320409817,kilogram,cutoff38,,,,,
86,111d0f59b2dd629675208f924d72e342,"market for hazardous waste, for incineration",CH,-0.0144399009891735,kilogram,cutoff38,,,,,
87,111d0f59b2dd629675208f924d72e342,"market for hazardous waste, for incineration",Europe without Switzerland,-0.552419073010826,kilogram,cutoff38,,,,,
88,1121eee201f6cce27085841ea743d1f6,"market for hazardous waste, for incineration",Europe without Switzerland,-1136.66,kilogram,cutoff38,,,,,
89,1121eee201f6cce27085841ea743d1f6,"market for hazardous waste, for incineration",CH,-29.7116060256527,kilogram,cutoff38,,,,,
90,1121eee201f6cce27085841ea743d1f6,"market for hazardous waste, for incineration",RoW,-2363.62839397435,kilogram,cutoff38,,,,,
91,11339d70f91b369fd8d277f83a37e585,"market for hazardous waste, for incineration",RoW,-5.99939461204722e-05,kilogram,cutoff38,,,,,
92,114e1e671d4235f738d3b6d98ea73cbb,"treatment of waste paperboard, municipal incineration",RoW,-0.296770319615218,kilogram,cutoff38,,,,,
93,1163f44c1e3939dea914bbca0637ddcf,"market for hazardous waste, for incineration",RoW,-0.0003061190372533,kilogram,cutoff38,,,,,
94,11bdba0ed10929a76745ed33966513ea,"treatment of municipal solid waste, incineration",RoW,-0.00423729,kilogram,cutoff38,,,,,
95,11e6c6f761e480727f08a1bcea23bdce,"market for hazardous waste, for incineration",CH,-7.61292396480813e-06,kilogram,cutoff38,,,,,
96,1219be788e24836e66b2438d4752e78c,"treatment of waste polyvinylchloride, municipal incineration",RoW,-0.441076934646913,kilogram,cutoff38,,,,,
97,1295bead9d03594ec42ea175e07659e1,"market for hazardous waste, for incineration",RoW,-0.0003372141424173,kilogram,cutoff38,,,,,
98,1296d0b127a88111b86c5e5c74ba3e7e,"market for hazardous waste, for incineration",RoW,-9.72558271934783e-10,kilogram,cutoff38,,,,,
