;ex_code;ex_name;ex_loc;ex_amount;ex_unit;db_name;category
14721;99d6869c1d0764792ab471f0c450a7b0;treatment of waste glass pane in burnable frame, sorting plant;RoW;-0.18;kilogram;cutoff38;non
14745;9a7e3421aeba6ee3500a0f9ddcd77f41;treatment of waste polyurethane, open dump, moist infiltration class (300mm);GLO;-0.150753841071451;kilogram;cutoff38;non
14851;9c9c8106f202981331af60a54478f688;treatment of municipal solid waste, open dump, moist infiltration class (300mm);GLO;-0.72813;kilogram;cutoff38;non
14885;9d7b55d4bc01b405f06100a0f0a7687f;treatment of waste polyurethane seal, collection for final disposal;RoW;-0.819357309661106;kilogram;cutoff38;non
14886;9d7b55d4bc01b405f06100a0f0a7687f;treatment of waste polyurethane seal, sorting plant;RoW;-0.177750583813871;kilogram;cutoff38;non
14949;9e2322b1e96c52896258e5cbe22ff219;treatment of waste polyethylene, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
15019;9eaaaeb558f1a168fab93bbc5698196d;treatment of waste polyethylene terephthalate, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
15021;9eaaaeb558f1a168fab93bbc5698196d;treatment of waste polyethylene terephthalate, open dump, very wet infiltration class (1000mm);GLO;-0.0581108636290239;kilogram;cutoff38;non
15116;a0189ddf652065107e1c2ab4cd09fbc9;market for waste cement-fibre slab;RoW;-33.0;kilogram;cutoff38;non
15294;a1bf3c7e192ad615c3da949d66c6cc6d;treatment of waste polyethylene, open dump, very wet infiltration class (1000mm);GLO;-0.0095291561611696;kilogram;cutoff38;non
15713;a3f865404a0b2e247d01790ffada1c18;treatment of waste plastic, mixture, open dump, wet infiltration class (500mm);GLO;-0.13641396154832;kilogram;cutoff38;non
15764;a4baea9365a13ba573c85b068e2306d1;market for waste frit from cathode ray tube production;GLO;-0.00028193;kilogram;cutoff38;non
16072;a76480885162320b9fe4317ce563b6eb;treatment of waste cement in concrete and mortar, collection for final disposal;CH;-0.500000000000096;kilogram;cutoff38;non
16073;a76480885162320b9fe4317ce563b6eb;treatment of waste cement in concrete and mortar, sorting plant;CH;-0.499999999999904;kilogram;cutoff38;non
17021;b0028cd5c4654bf75189bbd2e9c74daf;treatment of waste concrete gravel, collection for final disposal;CH;-0.41;kilogram;cutoff38;non
17022;b0028cd5c4654bf75189bbd2e9c74daf;treatment of waste concrete gravel, recycling;CH;-0.41;kilogram;cutoff38;non
17023;b0028cd5c4654bf75189bbd2e9c74daf;treatment of waste concrete gravel, sorting plant;CH;-0.18;kilogram;cutoff38;non
17401;b2e7e8fc124a9ec03a83d9518457b650;market for waste electric wiring;RoW;-1.01;kilogram;cutoff38;non
17751;b7367119d85e3490189f82edec13c9de;waste polyethylene, for recycling, sorted, Recycled Content cut-off;GLO;-0.0009312977099236;kilogram;cutoff38;non
17798;b801b275712c1cbc9b2c6abc649287f9;treatment of waste plastic, consumer electronics, dismantling, sorting and cleaning, formal sector;IN;7.31916393336128e-05;kilogram;cutoff38;non
18415;bea8793b4684314999f3e43349ca710e;treatment of waste brick, collection for final disposal;CH;-0.23;kilogram;cutoff38;non
18416;bea8793b4684314999f3e43349ca710e;treatment of waste brick, recycling;CH;-0.53;kilogram;cutoff38;non
18417;bea8793b4684314999f3e43349ca710e;treatment of waste brick, sorting plant;CH;-0.24;kilogram;cutoff38;non
18457;bfa01fd139ee8800b6a8242d8b3537fa;treatment of waste polyethylene, open dump, wet infiltration class (500mm);GLO;-0.13641396154832;kilogram;cutoff38;non
18688;c0c4558183a5de0f7a392da248d04682;treatment of waste cement-fibre slab, collection for final disposal;RoW;-0.5;kilogram;cutoff38;non
18689;c0c4558183a5de0f7a392da248d04682;treatment of waste cement-fibre slab, recycling;RoW;-0.5;kilogram;cutoff38;non
18699;c0e3e2ea20f7e6bd3f285d1162653898;treatment of waste, pneumatic tyres, open burning;RoW;-0.888061428571429;kilogram;cutoff38;non
18896;c3380b07fd84be1a58a7747f4118d597;market for basic oxygen furnace waste;GLO;-0.000193;kilogram;cutoff38;non
19050;c452014813c3f9432fc9e09ea1724dd6;market for waste mineral plaster;RoW;-50.0;kilogram;cutoff38;non
19327;c72325b52325adb2ea52c860ea7a92cf;market for waste x-ray film;GLO;-0.072596154;kilogram;cutoff38;non
19328;c72325b52325adb2ea52c860ea7a92cf;market for waste emulsion paint, separated;GLO;-0.000641026;kilogram;cutoff38;non
19358;c787e70477849b3402d74c8dabac4d9b;treatment of biowaste, open dump;RoW;-0.182250191679007;kilogram;cutoff38;non
19658;cbf9abbff1c3649505375703cfef368a;treatment of waste plastic, consumer electronics, open burning;GLO;-7.64073257112798e-09;kilogram;cutoff38;non
19819;cd4064f8b084395fdbe6b9572fe9b3a4;market for waste paint on wood;CH;-680.0;kilogram;cutoff38;non
19960;cf6ee674ffa5bdedda31e53eb0838914;treatment of waste paperboard, open dump, moist infiltration class (300mm);GLO;-0.0832381279944318;kilogram;cutoff38;non
20130;d1f33bd1263c3dfd60d3ce000b66901a;treatment of waste paint on metal, sorting plant;CH;-0.564;kilogram;cutoff38;non
20226;d2bcbb7af1847d8df4864f88991b0c84;treatment of waste glass sheet, collection for final disposal;CH;-0.596774193548387;kilogram;cutoff38;non
20227;d2bcbb7af1847d8df4864f88991b0c84;treatment of waste glass sheet, sorting plant;CH;-0.403225806451613;kilogram;cutoff38;non
20416;d4dfa41f45639a4280871702bfa2bf71;treatment of waste polypropylene, open dump, moist infiltration class (300mm);GLO;-0.728129948003917;kilogram;cutoff38;non
20511;d66a3d135fa04bc0acb7aed5d80e4c93;treatment of waste glass, open dump, moist infiltration class (300mm);GLO;-0.286272170127387;kilogram;cutoff38;non
20543;d734c78b728e4e325aaa00f8f1588969;market for decarbonising waste;RoW;-0.0008828571428571;kilogram;cutoff38;non
20700;d8f7b7bcdbe88e87e952aa30af6bf0fa;market for waste foundry sand;GLO;-476103.9083;kilogram;cutoff38;non
20753;d94387deb3d5b4248d61f7891a32b70c;treatment of waste plastic, mixture, open dump, dry infiltration class (100mm);GLO;-0.289881443371072;kilogram;cutoff38;non
20779;d9bc77e5d372b74728c92540a0ae822e;market for waste glass pane in burnable frame;RoW;-4.57171719698393e-07;kilogram;cutoff38;non
20823;da8c2adb3b60c3e656f7d4459e41e62d;treatment of waste glass, open dump, dry infiltration class (100mm);GLO;-0.230392332129037;kilogram;cutoff38;non
20897;db474b8e48e26eb3d9f405caab55331a;treatment of waste polyurethane, open dump, very wet infiltration class (1000mm);GLO;-0.0095291561611696;kilogram;cutoff38;non
20934;db885b12e11ddeeecc0f2e1c778fbe12;market for waste packaging paper;RoW;2.1465559925909102e-09;kilogram;cutoff38;non
20950;dbcd8890e8acd57dd3f98a277b109663;market for waste concrete gravel;RoW;-0.0453460717334337;kilogram;cutoff38;non
20961;dbdb9f2391e83ecc7d2fcd5eafbb5d3a;treatment of waste polystyrene, open dump, wet infiltration class (500mm);GLO;-0.200310827741168;kilogram;cutoff38;non
21193;de7932c711e38da449ef6730267a3fa0;treatment of waste polyethylene terephthalate, open dump, moist infiltration class (300mm);GLO;-0.0832381279944318;kilogram;cutoff38;non
21363;e11b858bb8737a8b3d2466cca8c29eff;market for waste wire plastic;RoW;-1377.0;kilogram;cutoff38;non
21410;e179d855e1737b411582f49beb87bef2;treatment of waste polyethylene terephthalate, open dump, wet infiltration class (500mm);GLO;-0.505163942939495;kilogram;cutoff38;non
21417;e193949fa40c7a8c6544f453904259e6;treatment of waste graphical paper, open dump, wet infiltration class (500mm);GLO;-0.13641396154832;kilogram;cutoff38;non
21524;e33995571acbc5522b69151fcb611618;market for waste, from silicon wafer production;GLO;-0.17;kilogram;cutoff38;non
21916;e4cb0b6c680d016867810fd22a813a36;treatment of waste plastic, mixture, open dump, moist infiltration class (300mm);GLO;-0.728129948003917;kilogram;cutoff38;non
21921;e506722fb4dee5d38c12d191a5a5bc73;market for waste bamboo residues;GLO;-0.0697;kilogram;cutoff38;non
21951;e55b7cfe92e0c77b5898aefe29af146f;market for waste zeolite;RoW;-0.0020803;kilogram;cutoff38;non
22033;e5e9a5d623c0c6b5011fb590fd0edac8;treatment of waste graphical paper, open dump, dry infiltration class (100mm);GLO;-0.0634703715706075;kilogram;cutoff38;non
22053;e634bf61340c0d9dec408c3a9b2c1827;treatment of waste glass, open dump, wet infiltration class (500mm);GLO;-0.13641396154832;kilogram;cutoff38;non
22107;e7480386d3acab7a8f81bc6b7fa230e2;treatment of municipal solid waste, open dump, dry infiltration class (100mm);GLO;-0.357519;kilogram;cutoff38;non
22348;ea2ca712443025d87fe072710ffc2eb7;market for waste sealing sheet, polyvinylchloride;CH;-1.49;kilogram;cutoff38;non
22370;eaafff7b9fea9e0650455b2c0e2fab08;treatment of municipal solid waste, open burning;GLO;-0.0634286;kilogram;cutoff38;non
22371;eaafff7b9fea9e0650455b2c0e2fab08;treatment of municipal solid waste, open dump, wet infiltration class (500mm);GLO;-0.269518;kilogram;cutoff38;non
22408;eb8756ed9a13b879f98e1ce88f6788ee;market for waste bitumen;CH;-1080.0;kilogram;cutoff38;non
22454;ec38ca4dc5eeedafa233b355976a915c;treatment of waste polyurethane, open dump, dry infiltration class (100mm);GLO;-0.230392332129037;kilogram;cutoff38;non
22459;ec3d4f965735feef3339cc98f1d978cb;market for waste plastic, consumer electronics;RoW;-0.023248770422382;kilogram;cutoff38;non
22462;ec5f2d8e2ed7868ed429b76ba29c8709;treatment of waste paperboard, open dump, dry infiltration class (100mm);GLO;-0.624023574577714;kilogram;cutoff38;non
22502;ecec4910075105c49329050c152ce425;market for drilling waste;RoW;-466.0;kilogram;cutoff38;non
22511;ed1a8c9b524364d39bd4a49aa1cd5c08;treatment of waste polystyrene, open burning;GLO;-0.0860011568767784;kilogram;cutoff38;non
22512;ed1a8c9b524364d39bd4a49aa1cd5c08;treatment of waste polystyrene, open dump, dry infiltration class (100mm);GLO;-0.304972657817088;kilogram;cutoff38;non
22560;ee271fa52f7512b1009814c79624a8cb;treatment of waste glass, open burning;GLO;-0.0143533996706812;kilogram;cutoff38;non
22571;ee3ad29dc9c1edfa03bd6007a1404a7c;treatment of waste polyethylene, open dump, dry infiltration class (100mm);GLO;-0.02611582974533;kilogram;cutoff38;non
22646;ef6162fb297a132e7d1845bad1f8c0f7;treatment of waste graphical paper, open dump, moist infiltration class (300mm);GLO;-0.728129948003917;kilogram;cutoff38;non
22710;ef95b050b30d97bc68488625ec75d051;market for waste expanded polystyrene;RoW;-0.392;kilogram;cutoff38;non
22791;f069b08767317154398b75a54833cc57;market for waste sealing sheet, polyethylene;CH;-0.0146;kilogram;cutoff38;non
22818;f0924e43f2f713e419803d14d35a5231;market for waste polyvinylchloride product;RoW;-1.4402889763676;kilogram;cutoff38;non
22877;f13a312c47fcd8026ae512ce17b4cbe4;treatment of waste graphical paper, open burning;GLO;-0.0104397907139771;kilogram;cutoff38;non
22932;f1f1fac609cfa0bffae87842de157bd2;treatment of waste polyethylene, open burning;GLO;-0.0871242405735605;kilogram;cutoff38;non
22933;f1f1fac609cfa0bffae87842de157bd2;treatment of waste polyethylene, open dump, moist infiltration class (300mm);GLO;-0.286272170127387;kilogram;cutoff38;non
22947;f216ec437255b320122187735487e2ce;treatment of waste reinforcement steel, collection for final disposal;RoW;-0.410028139373259;kilogram;cutoff38;non
22948;f216ec437255b320122187735487e2ce;treatment of waste reinforcement steel, recycling;RoW;-0.409900963080068;kilogram;cutoff38;non
22949;f216ec437255b320122187735487e2ce;treatment of waste reinforcement steel, sorting plant;RoW;-0.180070897546673;kilogram;cutoff38;non
22962;f240e57ad10ca2016817ed4903f44f4e;treatment of waste mineral wool, collection for final disposal;Europe without Switzerland;-0.298387096774194;kilogram;cutoff38;non
22963;f240e57ad10ca2016817ed4903f44f4e;treatment of waste mineral wool, recycling;Europe without Switzerland;-0.403225806451613;kilogram;cutoff38;non
22964;f240e57ad10ca2016817ed4903f44f4e;treatment of waste mineral wool, sorting plant;Europe without Switzerland;-0.298387096774194;kilogram;cutoff38;non
22965;f24160987565ed477e99128fe5acb2a6;treatment of waste concrete, not reinforced, collection for final disposal;CH;-0.1;kilogram;cutoff38;non
22966;f24160987565ed477e99128fe5acb2a6;treatment of waste concrete, not reinforced, recycling;CH;-0.62;kilogram;cutoff38;non
22967;f24160987565ed477e99128fe5acb2a6;treatment of waste concrete, not reinforced, sorting plant;CH;-0.28;kilogram;cutoff38;non
23170;f5c57d777bff5ef49bc43ce9fdb66a72;waste packaging paper, Recycled Content cut-off;GLO;-0.0005195989968014;kilogram;cutoff38;non
23269;f70666fd3525d42ae645122a444d4c21;market for waste paperboard;RoW;-5.36182255203696e-06;kilogram;cutoff38;non
23300;f70666fd3525d42ae645122a444d4c21;market group for waste polyethylene terephthalate;RER;-3.77183480861194e-08;kilogram;cutoff38;non
23301;f70666fd3525d42ae645122a444d4c21;market for waste polyethylene terephthalate;RoW;-3.04666620031912e-07;kilogram;cutoff38;non
23313;f7236903a71ad59d253c6bfb621476f0;treatment of waste paperboard, open dump, wet infiltration class (500mm);GLO;-0.0094739291825948;kilogram;cutoff38;non
23325;f75af3df53863ba9816b9d7158f3a09b;treatment of waste polypropylene, open dump, dry infiltration class (100mm);GLO;-0.304972657817088;kilogram;cutoff38;non
23406;f8144d2f463e50891762acfd8e86b4a0;treatment of waste polyethylene terephthalate, open dump, dry infiltration class (100mm);GLO;-0.624023574577714;kilogram;cutoff38;non
23444;f84f5b9bb55ec4f03547ba7c40a7057a;market for waste reinforcement steel;RoW;-6886513.31301548;kilogram;cutoff38;non
23471;f8dc78789f06300408fcf49f5095bf8f;market for waste bitumen sheet;CH;-0.00723;kilogram;cutoff38;non
23482;f961e3f6bf157b0bd63aefb85ec23b8d;treatment of waste reinforced concrete, collection for final disposal;CH;-0.1;kilogram;cutoff38;non
23483;f961e3f6bf157b0bd63aefb85ec23b8d;treatment of waste reinforced concrete, recycling;CH;-0.62;kilogram;cutoff38;non
23484;f961e3f6bf157b0bd63aefb85ec23b8d;treatment of waste reinforced concrete, sorting plant;CH;-0.28;kilogram;cutoff38;non
23500;f99c8a1b666bfdab6fef8778d41f7bff;waste wood, post-consumer, Recycled Content cut-off;GLO;-525.82386;kilogram;cutoff38;non
23524;f9d9e1fe071af805ff86ec66d4f5f0c9;market for waste fibreboard;CH;-17.4;kilogram;cutoff38;non
23553;fa1f92ecb20ef98678a679ead2b77d40;market for waste polyvinylfluoride;RoW;-10.6419374148979;kilogram;cutoff38;non
23571;fa57f8b846f35131a9fc53b34f7bfa15;treatment of waste plaster-cardboard sandwich, collection for final disposal;CH;-0.41;kilogram;cutoff38;non
23572;fa57f8b846f35131a9fc53b34f7bfa15;treatment of waste plaster-cardboard sandwich, recycling;CH;-0.41;kilogram;cutoff38;non
23573;fa57f8b846f35131a9fc53b34f7bfa15;treatment of waste plaster-cardboard sandwich, sorting plant;CH;-0.18;kilogram;cutoff38;non
23575;fa5dd14ff0306082e6954dc6f7de782a;treatment of waste polyethylene terephthalate, open burning;GLO;-0.0005657731498034;kilogram;cutoff38;non
23599;fb035893d851ec0b26f57c6809f7f2c8;treatment of waste reinforced plasterboard, collection for final disposal;CH;-0.41;kilogram;cutoff38;non
23600;fb035893d851ec0b26f57c6809f7f2c8;treatment of waste reinforced plasterboard, recycling;CH;-0.41;kilogram;cutoff38;non
23601;fb035893d851ec0b26f57c6809f7f2c8;treatment of waste reinforced plasterboard, sorting plant;CH;-0.18;kilogram;cutoff38;non
23607;fb36cc0f0ee71aa96428e8a08d24810e;treatment of waste wood, untreated, open dump, wet infiltration class (500mm);GLO;-0.0840657818025282;kilogram;cutoff38;non
23610;fb406ef00fdec66bf772afea885d8c02;treatment of waste wood, untreated, open dump, moist infiltration class (300mm);GLO;-0.150753841071451;kilogram;cutoff38;non
23616;fb518da578268aeb95c7e44acd02900c;market for waste yarn and waste textile;GLO;-0.1746;kilogram;cutoff38;non
23655;fbd7a4bb2d48c1f410ebf5066274045f;market for waste polyurethane foam;RoW;-0.358119097295781;kilogram;cutoff38;non
23674;fbe27e08ab2ab5ea27e70ffdf0ef9edb;treatment of waste wood, untreated, open dump, dry infiltration class (100mm);GLO;-0.0634703715706075;kilogram;cutoff38;non
23678;fbf03310304689a5a7ebe1cc523b3822;treatment of waste wood, untreated, open burning;GLO;-0.0150317896138671;kilogram;cutoff38;non
23685;fbf51ee94d6b4481482b61d6913c4f59;waste paper, unsorted, Recycled Content cut-off;GLO;-8.14220172611306e-05;kilogram;cutoff38;non
23705;fc16ba2ef3ce449a224f07f25d933c14;market for waste paint on metal;RoW;-0.564;kilogram;cutoff38;non
23736;fc36f3ea781eab94ff8393999bff9a72;waste polyethylene, for recycling, unsorted, Recycled Content cut-off;GLO;-0.08;kilogram;cutoff38;non
23741;fc4d4696ba4fe577e0f5c2065ce10899;market for waste paint;RoW;-0.0004398728207434;kilogram;cutoff38;non
23742;fc4d4696ba4fe577e0f5c2065ce10899;waste paperboard, sorted, Recycled Content cut-off;GLO;-0.100688766063141;kilogram;cutoff38;non
23759;fc7e35ea4b306371c64ca1291cf414f1;market for waste asphalt;RoW;-0.027;kilogram;cutoff38;non
23773;fcc8209ad8b353a24aa902815951a4a1;market for waste wood pole, chrome preserved;RoW;-7.03294092579212e-05;kilogram;cutoff38;non
23777;fcca61d848787604861b65614c99d28b;market for waste building wood, chrome preserved;CH;-11.0;kilogram;cutoff38;non
23778;fcca61d848787604861b65614c99d28b;market for waste brick;CH;-45.1;kilogram;cutoff38;non
23781;fcca61d848787604861b65614c99d28b;market for waste cement in concrete and mortar;CH;-38.5;kilogram;cutoff38;non
23797;fd09715495f4bb08963c5e0f9ddffbaa;market group for waste polystyrene;RER;-0.0001;kilogram;cutoff38;non
23799;fd3ca21534409626c374886e5bec2b40;market for waste glass sheet;RoW;-0.0103214476998798;kilogram;cutoff38;non
23837;fd60f6bab9f81a740200ccec1fe04f16;treatment of waste plastic, mixture, open burning;GLO;-0.0122605420657861;kilogram;cutoff38;non
23840;fd62b4dc832338ce525bf8fa3e67ccb3;market for waste polyethylene/polypropylene product;RoW;-16.0;kilogram;cutoff38;non
23848;fd6545dde7aa7fa545975e44b0616e7d;market for waste emulsion paint;RoW;-0.01;kilogram;cutoff38;non
23865;fd7fb64c2e69fcd84f62bd95273e706e;market group for municipal solid waste;RER;-9.77212812447675e-05;kilogram;cutoff38;non
23876;fd9e7ef97a2711ef1e464e011c84ff13;treatment of waste polypropylene, open burning;GLO;-0.0487658869735807;kilogram;cutoff38;non
23877;fd9e7ef97a2711ef1e464e011c84ff13;treatment of waste polypropylene, open dump, wet infiltration class (500mm);GLO;-0.200310827741168;kilogram;cutoff38;non
23886;fdad0bce41632df3bd6d64c5e4faea6e;treatment of waste polyurethane, open burning;GLO;-0.284307580310206;kilogram;cutoff38;non
23887;fdad0bce41632df3bd6d64c5e4faea6e;treatment of waste polyurethane, open dump, wet infiltration class (500mm);GLO;-0.505163942939495;kilogram;cutoff38;non
23907;fdc9f9fe65ba7109024beafce9fe4a66;market for waste polyurethane;RoW;-24.9201455420402;kilogram;cutoff38;non
23922;fdd08e373827dbc54383b0b6b50314ca;market for waste polystyrene isolation, flame-retardant;RoW;-258.882325416409;kilogram;cutoff38;non
23932;fdd85ce6378670afeabb2323d89bf5d1;market for waste paint on wall;GLO;-5062.5;kilogram;cutoff38;non
23964;fe4dbff73a0054989c950f1904b92427;market for waste concrete, not reinforced;RoW;-51678.9338941666;kilogram;cutoff38;non
23974;fe7314a5040974eaaee062d97b404054;market for waste mineral wool;RoW;-289.803359825464;kilogram;cutoff38;non
23989;fe766d64162324d16f666821d5ffa9d5;market for waste polyvinylchloride;RoW;-0.0029164041330551;kilogram;cutoff38;non
23990;fe796f5de87d5ebdfac6ebbe39d07f11;market for waste gypsum;CH;-0.0004136754955872;kilogram;cutoff38;non
23992;fe7e71a5ea6c93aa420c70864fc1cecf;treatment of waste paperboard, open burning;GLO;-0.0041718691285255;kilogram;cutoff38;non
23999;fea2d26de5ccbae6df6f1c76a6e9d5ec;treatment of waste polyvinylchloride, open burning;GLO;-0.0974434868744582;kilogram;cutoff38;non
24000;fea2d26de5ccbae6df6f1c76a6e9d5ec;treatment of waste polyvinylchloride, open dump, dry infiltration class (100mm);GLO;-0.0499944695133922;kilogram;cutoff38;non
24001;fea2d26de5ccbae6df6f1c76a6e9d5ec;treatment of waste polyvinylchloride, open dump, hyperarid infiltration class (-250mm);GLO;-0.0241530148866973;kilogram;cutoff38;non
24002;fea2d26de5ccbae6df6f1c76a6e9d5ec;treatment of waste polyvinylchloride, open dump, moist infiltration class (300mm);GLO;-0.0250926981761765;kilogram;cutoff38;non
24003;fea2d26de5ccbae6df6f1c76a6e9d5ec;treatment of waste polyvinylchloride, open dump, very wet infiltration class (1000mm);GLO;-0.0581108636290239;kilogram;cutoff38;non
24004;fea2d26de5ccbae6df6f1c76a6e9d5ec;treatment of waste polyvinylchloride, open dump, wet infiltration class (500mm);GLO;-0.154202153568209;kilogram;cutoff38;non
24010;fea37adb713819dd941d9f72a5c1283a;market group for waste paperboard;Europe without Switzerland;-0.0045;kilogram;cutoff38;non
24012;fea37adb713819dd941d9f72a5c1283a;market for waste textile, soiled;RoW;-0.00075;kilogram;cutoff38;non
24013;fea37adb713819dd941d9f72a5c1283a;market group for waste graphical paper;Europe without Switzerland;-0.008625;kilogram;cutoff38;non
24014;fea37adb713819dd941d9f72a5c1283a;market group for waste wood, untreated;Europe without Switzerland;-0.00075;kilogram;cutoff38;non
24016;fed1eb16de36bcaebb33b30fc3c3b7cb;waste paperboard, unsorted, Recycled Content cut-off;GLO;-2.5;kilogram;cutoff38;non
24023;fed1eb16de36bcaebb33b30fc3c3b7cb;market for waste polyethylene;RoW;-0.0516177722664626;kilogram;cutoff38;non
