('con39', 'waste_hazardous_kilogram', 'additions', 1133, 'duration:', '0:00:21.786890')
('con39', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.169803')
('con39', 'waste_radioactive_cubicmeter', 'additions', 295, 'duration:', '0:00:05.512123')
('con39', 'waste_non_hazardous_kilogram', 'additions', 22253, 'duration:', '0:07:17.747771')
('con39', 'waste_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:05.813760')
('con39', 'waste_incineration_kilogram', 'additions', 1218, 'duration:', '0:00:23.810585')
('con391', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.058973')
('con391', 'waste_total_kilogram', 'additions', 23384, 'duration:', '0:07:45.007977')
('con391', 'waste_open_burning_kilogram', 'additions', 559, 'duration:', '0:00:11.118971')
('con391', 'waste_total_cubicmeter', 'additions', 3058, 'duration:', '0:01:00.290622')
('con391', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.021432')
('con391', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.041455')
('con391', 'waste_recycling_kilogram', 'additions', 57, 'duration:', '0:00:01.157788')
('con391', 'waste_non_hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:54.768619')
('con391', 'waste_landfill_kilogram', 'additions', 1152, 'duration:', '0:00:22.385676')
('con391', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.026624')
('con391', 'waste_hazardous_kilogram', 'additions', 1133, 'duration:', '0:00:22.587892')
('con391', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.168429')
('con391', 'waste_radioactive_cubicmeter', 'additions', 295, 'duration:', '0:00:05.798391')
('con391', 'waste_non_hazardous_kilogram', 'additions', 22251, 'duration:', '0:07:16.350638')
('con391', 'waste_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:05.486626')
('con391', 'waste_incineration_kilogram', 'additions', 1218, 'duration:', '0:00:23.954133')
('apos35', 'waste_total_kilogram', 'additions', 74245, 'duration:', '0:25:04.325291')
('apos35', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:10.540430')
('apos35', 'waste_total_cubicmeter', 'additions', 4646, 'duration:', '0:01:22.687226')
('apos35', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016004')
('apos35', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.030666')
('apos35', 'waste_recycling_kilogram', 'additions', 200, 'duration:', '0:00:03.299071')
('apos35', 'waste_non_hazardous_cubicmeter', 'additions', 4081, 'duration:', '0:01:11.150421')
('apos35', 'waste_landfill_kilogram', 'additions', 1444, 'duration:', '0:00:25.477979')
('apos35', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.022059')
('apos35', 'waste_hazardous_kilogram', 'additions', 1583, 'duration:', '0:00:28.245396')
('apos35', 'waste_composting_kilogram', 'additions', 2, 'duration:', '0:00:00.030033')
('apos35', 'waste_radioactive_cubicmeter', 'additions', 565, 'duration:', '0:00:09.970908')
('apos35', 'waste_non_hazardous_kilogram', 'additions', 72662, 'duration:', '0:21:49.547674')
('apos35', 'waste_hazardous_cubicmeter', 'additions', 565, 'duration:', '0:00:09.475934')
('apos35', 'waste_incineration_kilogram', 'additions', 1810, 'duration:', '0:00:31.160229')
('apos38', 'waste_total_kilogram', 'additions', 89322, 'duration:', '0:26:55.575848')
('apos38', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:09.211141')
('apos38', 'waste_total_cubicmeter', 'additions', 6316, 'duration:', '0:01:49.489859')
('apos38', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016601')
('apos38', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.032029')
('apos38', 'waste_recycling_kilogram', 'additions', 268, 'duration:', '0:00:04.623105')
('apos38', 'waste_non_hazardous_cubicmeter', 'additions', 5629, 'duration:', '0:01:37.261243')
('apos38', 'waste_landfill_kilogram', 'additions', 2135, 'duration:', '0:00:36.452544')
('apos38', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.022883')
('apos38', 'waste_hazardous_kilogram', 'additions', 2783, 'duration:', '0:00:47.856613')
('apos38', 'waste_composting_kilogram', 'additions', 4, 'duration:', '0:00:00.069613')
('apos38', 'waste_radioactive_cubicmeter', 'additions', 687, 'duration:', '0:00:11.692065')
('apos38', 'waste_non_hazardous_kilogram', 'additions', 86539, 'duration:', '0:25:34.732632')
('apos38', 'waste_hazardous_cubicmeter', 'additions', 687, 'duration:', '0:00:13.173667')
('apos38', 'waste_incineration_kilogram', 'additions', 2766, 'duration:', '0:00:50.453400')
('apos391', 'waste_total_kilogram', 'additions', 66307, 'duration:', '0:19:14.778549')
('apos391', 'waste_open_burning_kilogram', 'additions', 555, 'duration:', '0:00:09.328016')
('apos391', 'waste_total_cubicmeter', 'additions', 6905, 'duration:', '0:01:56.730137')
('apos391', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.015833')
('apos391', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.030741')
('apos391', 'waste_recycling_kilogram', 'additions', 232, 'duration:', '0:00:04.254624')
('apos391', 'waste_non_hazardous_cubicmeter', 'additions', 6542, 'duration:', '0:02:00.053218')
('apos391', 'waste_landfill_kilogram', 'additions', 1923, 'duration:', '0:00:39.875352')
('apos391', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.016230')
('apos391', 'waste_hazardous_kilogram', 'additions', 2919, 'duration:', '0:00:59.024062')
('apos391', 'waste_composting_kilogram', 'additions', 4, 'duration:', '0:00:00.072704')
('apos391', 'waste_radioactive_cubicmeter', 'additions', 363, 'duration:', '0:00:07.216381')
('apos391', 'waste_non_hazardous_kilogram', 'additions', 63388, 'duration:', '0:18:25.992000')
('apos391', 'waste_hazardous_cubicmeter', 'additions', 363, 'duration:', '0:00:06.183415')
('apos391', 'waste_incineration_kilogram', 'additions', 2701, 'duration:', '0:00:47.139736')
